0,0,216
1,05,116
2,1,5188
3,10,6187
4,100,1147
5,1000,246
6,10000,103
7,101,265
8,1010,111
9,1012,176
10,1015,239
11,1030,124
12,1030am,115
13,1030pm,106
14,105,101
15,1050,112
16,1095,141
17,1099,130
18,10am,190
19,10oz,131
20,10pm,214
21,10th,192
22,10x,103
23,11,925
24,110,125
25,1100,117
26,112,123
27,1130,148
28,1130am,107
29,115,128
30,1195,124
31,1199,109
32,11am,160
33,11pm,109
34,12,2694
35,120,227
36,1200,194
37,1215,122
38,1230,203
39,125,222
40,1250,107
41,1295,140
42,1299,110
43,12oz,123
44,13,711
45,130,261
46,131,105
47,1395,100
48,1399,135
49,14,914
50,140,155
51,1400,101
52,1495,158
53,1499,125
54,15,3442
55,150,287
56,1500,133
57,1511,102
58,1520,201
59,1599,104
60,15min,101
61,16,613
62,160,124
63,1699,113
64,16oz,176
65,16th,100
66,17,350
67,175,123
68,1762,101
69,1799,100
70,18,597
71,180,113
72,1842,122
73,19,196
74,1950s,148
75,1970s,100
76,1980s,105
77,199,172
78,1995,135
79,1999,163
80,19th,109
81,1am,171
82,1lb,100
83,1pm,280
84,1st,549
85,1star,112
86,2,11657
87,20,4001
88,200,248
89,2000,186
90,2005,132
91,2006,158
92,2007,211
93,2008,283
94,2009,189
95,2010,338
96,2011,204
97,2012,419
98,2013,585
99,2014,233
100,2015,343
101,2025,173
102,2030,275
103,20min,102
104,20oz,101
105,21,288
106,215,108
107,21st,160
108,22,238
109,225,128
110,23,469
111,230,230
112,24,645
113,247,160
114,24hour,171
115,24hr,113
116,24hrs,149
117,25,1498
118,250,234
119,2500,111
120,2530,106
121,26,168
122,27,114
123,275,101
124,28,171
125,29,216
126,295,138
127,299,175
128,2999,111
129,2am,267
130,2for1,124
131,2nd,725
132,2pm,123
133,2x,182
134,3,9683
135,30,2658
136,300,194
137,3000,115
138,3040,182
139,3045,152
140,30min,105
141,30th,103
142,31,159
143,32,140
144,325,120
145,33,177
146,330,106
147,330pm,112
148,34,410
149,35,1211
150,350,171
151,355,164
152,36,168
153,360,140
154,37,188
155,375,163
156,38,179
157,39,188
158,395,125
159,399,224
160,3am,263
161,3course,120
162,3pm,135
163,3rd,384
164,3star,141
165,3x,138
166,4,7396
167,40,1088
168,400,126
169,4000,119
170,40th,106
171,41,127
172,42,119
173,425,103
174,43,139
175,430,178
176,44,194
177,45,2150
178,450,120
179,455,156
180,46,227
181,47,123
182,475,154
183,48,262
184,49,103
185,495,200
186,499,233
187,4am,127
188,4pm,118
189,4star,149
190,4stars,115
191,4th,187
192,5,10060
193,50,1280
194,500,223
195,5000,105
196,5050,121
197,51,130
198,510,140
199,52,143
200,530,141
201,530pm,133
202,54,109
203,55,598
204,550,319
205,56,132
206,57,238
207,58,127
208,59,103
209,595,207
210,599,119
211,5am,133
212,5church,189
213,5pm,188
214,5star,166
215,5stars,143
216,5th,121
217,6,3166
218,60,385
219,600,143
220,610,105
221,630,229
222,630pm,186
223,645,115
224,65,281
225,650,110
226,66,148
227,67,211
228,68,200
229,69,101
230,695,229
231,699,142
232,6am,102
233,6oz,108
234,6pm,229
235,6th,142
236,7,2001
237,70,250
238,700,116
239,710,172
240,72,106
241,730,170
242,730pm,150
243,745,110
244,75,214
245,750,314
246,777,343
247,78,223
248,79,102
249,795,130
250,799,201
251,7am,102
252,7pm,235
253,7th,110
254,8,2400
255,80,322
256,800,239
257,808,163
258,810,311
259,815,112
260,830,119
261,830pm,140
262,845,103
263,85,163
264,850,104
265,88,107
266,89,128
267,895,219
268,899,272
269,8am,109
270,8oz,138
271,8pm,246
272,8th,188
273,9,1407
274,90,414
275,900,148
276,910,148
277,911,144
278,915,103
279,930,113
280,930pm,106
281,95,325
282,950,189
283,99,141
284,995,179
285,999,141
286,9am,134
287,9pm,206
288,a1,150
289,a5,137
290,aaron,141
291,ab,139
292,aback,120
293,abandon,146
294,abay,116
295,abend,175
296,aber,161
297,ability,136
298,able,3213
299,abound,100
300,absence,106
301,absent,155
302,absinthe,208
303,absolut,205
304,absolute,613
305,absolutely,5046
306,absorb,243
307,absurd,198
308,abuelos,198
309,abundance,103
310,abundant,205
311,abysmal,104
312,ac,218
313,acai,311
314,accent,242
315,accept,353
316,acceptable,236
317,access,193
318,accessible,117
319,accident,179
320,accidentally,170
321,accolade,101
322,accommodate,1835
323,accommodation,114
324,accomodate,122
325,accomodating,208
326,accompaniment,169
327,accompany,652
328,accomplish,168
329,accord,340
330,accordingly,112
331,accordion,171
332,account,289
333,accurate,186
334,accurately,109
335,accuse,121
336,accustom,101
337,ace,138
338,ache,195
339,achieve,187
340,acid,159
341,acidic,239
342,acidity,173
343,acknowledge,605
344,acknowledgement,137
345,acoustic,107
346,acquire,157
347,across,2323
348,act,796
349,action,201
350,active,135
351,activity,109
352,actual,918
353,actually,6057
354,ad,139
355,adam,121
356,add,7143
357,addict,405
358,addiction,214
359,addictive,181
360,addition,2058
361,additional,768
362,additionally,186
363,addons,127
364,address,387
365,adequate,219
366,adequately,106
367,adjacent,103
368,adjust,184
369,adjustment,148
370,admire,169
371,admission,106
372,admit,694
373,admittedly,163
374,adobada,526
375,adobe,131
376,adobo,206
377,adorable,300
